"","Cake","code","amount","ingredient","measure"
"1","Angel","AE",0.25,"Almond essence","teaspoon"
"2","Angel","CT",1.25,"Cream of tartar","teaspoon"
"3","Angel","EW",10,"Egg white","one"
"4","Angel","FR",1,"Sifted flour","cup"
"5","Angel","SR",1.5,"Granulated sugar","cup"
"6","Angel","ST",0.25,"Salt","teaspoon"
"7","Angel","VE",1,"Vanilla extract","teaspoon"
"8","Babas au Rhum","BR",0.25,"Butter","cup"
"9","Babas au Rhum","DC",3,"Dried currants","tablespoon"
"10","Babas au Rhum","EG",1,"Eggs","one"
"11","Babas au Rhum","EY",2,"Egg yolk","one"
"12","Babas au Rhum","FR",1.75,"Sifted flour","cup"
"13","Babas au Rhum","LR",0.5,"Lemon rind","teaspoon"
"14","Babas au Rhum","MK",0.25,"Milk","cup"
"15","Babas au Rhum","RM",2,"Rum","ounce"
"16","Babas au Rhum","SR",0.25,"Granulated sugar","cup"
"17","Babas au Rhum","WR",0.25,"Water","cup"
"18","Babas au Rhum","YT",0.6,"Yeast","ounce"
"19","Sweet Chocolate","BR",1,"Butter","cup"
"20","Sweet Chocolate","CE",4,"Chocolate","ounce"
"21","Sweet Chocolate","EG",4,"Eggs","one"
"22","Sweet Chocolate","FR",2.5,"Sifted flour","cup"
"23","Sweet Chocolate","MK",1,"Milk","cup"
"24","Sweet Chocolate","SA",1,"Soda","teaspoon"
"25","Sweet Chocolate","SR",2,"Granulated sugar","cup"
"26","Sweet Chocolate","ST",0.5,"Salt","teaspoon"
"27","Sweet Chocolate","VE",1,"Vanilla extract","teaspoon"
"28","Sweet Chocolate","WR",0.5,"Water","cup"
"29","Buche de Noel","EG",4,"Eggs","one"
"30","Buche de Noel","FR",1,"Sifted flour","cup"
"31","Buche de Noel","SR",1.3,"Granulated sugar","cup"
"32","Buche de Noel","ST",0.5,"Salt","teaspoon"
"33","Buche de Noel","VE",1,"Vanilla extract","teaspoon"
"34","Cheesecake","BR",0.25,"Butter","cup"
"35","Cheesecake","CC",1.5,"Cottage Cheese","pound"
"36","Cheesecake","EG",6,"Eggs","one"
"37","Cheesecake","FR",0.25,"Sifted flour","cup"
"38","Cheesecake","LJ",1,"Lemon juice","tablespoon"
"39","Cheesecake","LR",1,"Lemon rind","teaspoon"
"40","Cheesecake","SC",1,"Sour cream cup",NA
